# Column     Data                Source
# ------     ----                ------
# Molecule   Molecule name       --
# HIT        HITRAN isotope ID   AFGL code
# Exomol     Exomol isotope ID
# Iso ratio  Isotopic ratio      Simeckova et al. (2006), Rothman et al. (2013)
#                                Kurucz's rschwenk.for (TiO)
# Iso mass   Isotopic mass (amu) Lide (2008) Handbook of chem.

# Molecule  HIT   Exomol     Iso ratio    Iso mass
CH3Br       211   00000      4.874e-01    95.93976569
CH3CN      2124   000000     9.739e-01    41.02654910
CF4          29   00000      9.889e-01    87.99361288
C4H2       2211   000000     9.560e-01    50.01565006
HC3N      12224   00000      9.633e-01    51.01089903
H2           11   00         9.997e-01     2.01565006
H2           12   00         3.114e-04     3.02192681
CS           22   22         9.396e-01    43.97207100
CS           24   24         4.168e-02    45.96786690
CS           32   32         1.056e-02    44.97542583
CS           23   23         7.417e-03    44.97145876
CS           00   26         0.0          1.0
CS           00   33         0.0          1.0
CS           00   34         0.0          1.0
CS           00   36         0.0          1.0
SO3          26   2666       9.434e-01    95.95172944
C2N2       4224   0000       0            0
C2N2       5225   0000       0            0
SO           26   00         0            0
SO           46   00         0            0
SO           28   00         0            0
C3H4       1221   0000000    0            0
CH3        2111   0000000    0            0
CS2         222   000        0            0
CS2         224   000        0            0
CS2         223   000        0            0
CS2         232   000        0            0
VO           00   16         0.0          66.9388741
TiO          00   66         0.0793       61.9475462
TiO          00   76         0.0728       62.9466777
TiO          00   86         0.7394       63.9428609
TiO          00   96         0.0551       64.9427846
TiO          00   06         0.0534       65.9397058
FeH          00   61         1.0          56.9427625
